gwcode,years,missing_values_in
347,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
349,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
350,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
352,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
355,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
359,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
360,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
365,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
366,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
367,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
368,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
369,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
370,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
371,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
372,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
373,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
375,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
380,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
385,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
390,2019,"pt_attempt_lead1, pt_attempt_lead2, pt_coup_lead1, pt_coup_lead2, pt_failed_lead1, pt_failed_lead2"
