gwcode,year,for_year,outcome,observed,p
368,2017,2018,coup,0,0
369,2017,2018,coup,0,0.015817951058571346
370,2017,2018,coup,0,6.758363433810488e-4
371,2017,2018,coup,0,0.01679388617922059
372,2017,2018,coup,0,0.0022410040895213894
373,2017,2018,coup,0,0.008762155002945927
375,2017,2018,coup,0,0
380,2017,2018,coup,0,0
385,2017,2018,coup,0,0
390,2017,2018,coup,0,0
395,2017,2018,coup,0,0.0015287680896902513
402,2017,2018,coup,0,0
404,2017,2018,coup,0,0.037606221547816905
411,2017,2018,coup,0,0.039876528994817126
420,2017,2018,coup,0,0.007126607892753599
432,2017,2018,coup,0,0.013669102540448258
433,2017,2018,coup,0,0.017124860297203715
434,2017,2018,coup,0,0.028783414181139243
435,2017,2018,coup,0,0.019763656509231856
436,2017,2018,coup,0,0.01764242009509686
437,2017,2018,coup,0,0.02717152118424223
438,2017,2018,coup,0,0.024384621135815448
439,2017,2018,coup,0,0.05793305175049592
450,2017,2018,coup,0,0.021397333959453174
451,2017,2018,coup,0,0.012332315041356694
452,2017,2018,coup,0,0.0031152882467736414
461,2017,2018,coup,0,0.020105799887303825
471,2017,2018,coup,0,0.040415759874613044
475,2017,2018,coup,0,0.009485883891281589
481,2017,2018,coup,0,0.02138302101649913
482,2017,2018,coup,0,0.02375747367234483
483,2017,2018,coup,0,0.035589565745706445
484,2017,2018,coup,0,0.015252395379336044
490,2017,2018,coup,0,0.027229656699437634
500,2017,2018,coup,0,0.023030111086776103
501,2017,2018,coup,0,0.02040552663662126
510,2017,2018,coup,0,7.469329446259807e-4
516,2017,2018,coup,0,0.02067011402884557
517,2017,2018,coup,0,0.015549690766891605
520,2017,2018,coup,0,0.03267781081305023
522,2017,2018,coup,0,0.0030857825137690694
530,2017,2018,coup,0,0.0076612625383960945
531,2017,2018,coup,0,0.009474123622813496
540,2017,2018,coup,0,0.02554156381632384
541,2017,2018,coup,0,0.002901603401058753
551,2017,2018,coup,0,0.014621313271229522
552,2017,2018,coup,0,0.054738017345741234
553,2017,2018,coup,0,0.003018717866324574
560,2017,2018,coup,0,3.0894477459926647e-4
565,2017,2018,coup,0,8.275143375143373e-4
570,2017,2018,coup,0,0.025238950615675004
571,2017,2018,coup,0,9.087453624680841e-4
572,2017,2018,coup,0,0.007457386077393811
580,2017,2018,coup,0,0.009655083510184164
581,2017,2018,coup,0,0.021472789705287015
590,2017,2018,coup,0,0
600,2017,2018,coup,0,0.00923376292292237
615,2017,2018,coup,0,0.012889694427636716
616,2017,2018,coup,0,0.0072455204729510335
620,2017,2018,coup,0,0.03319650527784134
625,2017,2018,coup,0,0.023206350654474173
626,2017,2018,coup,0,0.023306904900334054
630,2017,2018,coup,0,0.006599605756196859
640,2017,2018,coup,0,0.033952000220281824
645,2017,2018,coup,0,0.00705141848064613
651,2017,2018,coup,0,0.08229826149444841
652,2017,2018,coup,0,0.01750189713544716
660,2017,2018,coup,0,0.011293615782089253
663,2017,2018,coup,0,0.0010465839534962748
666,2017,2018,coup,0,0.0023483505803832505
670,2017,2018,coup,0,0.005286283624268323
678,2017,2018,coup,0,0.029065264747406516
